Niveau,Wort,Klarwort,Übersetzung,Detail,Example1,Example2,Example3,Example4,Example5,
A2,Wahrscheinlich,wahrscheinlich,"wahrscheinlich (Adverb): probably, likely, in all likelihood  wahrscheinlich (Adjektiv): probable, likely  das wahrscheinlich (Noun): the probable‌ (thing/concept)","wahrscheinlich (Adverb): probably, likely, in all likelihood  wahrscheinlich (Adjektiv): probable, likely  das Wahrscheinlich (Noun): the probable (thing/concept)","Es ist wahrscheinlich, dass er heute kommt.It is probable that he will come today.",Sie kommt wahrscheinlich später.She will probably come later.,Dieses Ergebnis ist wahrscheinlicher als das andere.This result is more likely than the other.,Das ist am wahrscheinlichsten.That is the most likely.,Das Wahrscheinliche hilft uns bei der Entscheidung.The probable helps us make the decision.,German Word (A2)
A1,Später,später,"später (Adverb): later, afterwards, subsequently  später (Adjektiv): later‌ (later-stage), late‌ (comparative as attributive)  das später (Noun): the later, the later time","später (Adverb): later, afterwards, subsequently  später (Adjektiv): later (later-stage), late (comparative as attributive)  das Später (Noun): the later, the later time",Wir sprechen später.We’ll talk later.,"Kommst du später?Are you coming later?3. Das machen wir später, das andere machen wir am spätesten.We’ll do this later, and we’ll do the other thing the latest.",Ein später Termin passt mir besser.A later appointment suits me better.,Das Spätere besprechen wir morgen.We’ll discuss the later part tomorrow.,,German Word (A1)
A2,Sofort,sofort,"sofort (Adverb): immediately, right away, at once, straightaway  das sofort (Noun): the immediate‌ (nominalized adverb; rare)","sofort (Adverb): immediately, right away, at once, straightaway  das Sofort (Noun): the immediate (nominalized adverb; rare)",Ich komme sofort.I’m coming right away.,Ruf mich sofort an.Call me immediately.,"Er antwortet sofort, sie antwortet noch schneller, und sie antwortet am schnellsten.He answers at once, she answers even faster, and she answers the fastest.",Das Soforte hilft hier nicht.The immediate does not help here.,,German Word (A2)
A1,Sehr,sehr,"sehr (Adverb): very, really, highly  das sehr (Noun): the word ‘very’ (as a term), the concept ‘very’","sehr (Adverb): very, really, highly  das Sehr (Noun): the word ‘very’ (as a term), the concept ‘very’",Das ist sehr gut.That is very good.,Heute mag ich das mehr als gestern.Today I like it more than yesterday.,Er freut sich am meisten.He is the happiest/most pleased.,"Das Sehr ist hier nur ein Wort.Here, ‘very’ is only a word.",,German Word (A1)
A1,Oben,oben,"above, upstairs, at the top, on top","above, upstairs, at the top, on top",Die Jacke liegt oben.The jacket is upstairs/on top.,Oben ist es ruhiger.It is quieter upstairs.,Die Infos stehen weiter oben.The info is further up.,Ganz oben ist das Büro.The office is at the very top.,,German Adverb (A1)
A1,Überall,überall,"everywhere, all over, all around","everywhere, all over, all around",Er sucht überall.He is looking everywhere.,Überall liegen Bücher.There are books everywhere.,Wir sehen überall die gleichen Zeichen.We see the same signs everywhere.,Überall war es laut.It was loud everywhere.,,German Adverb (A1)
A2,Total,total,"total (Adjektiv): total, complete, absolute  total (Adverb): totally, completely, utterly  das total (Noun): long shot‌ (film/photo), wide shot, the total‌ (quality), totality‌ (as an adjective turned noun)","total (Adjektiv): total, complete, absolute  total (Adverb): totally, completely, utterly  das Total (Noun): long shot (film/photo), wide shot, the total (quality), totality (as an adjective turned noun)",Das war ein totaler Erfolg.That was a total success.,Der Plan ist total einfach.The plan is totally simple.,Dieses Angebot ist noch totaler als das andere.This offer is even more total than the other.,"Das ist am totalsten, wenn alle mitmachen.That is the most total when everyone joins in.",Die Totale zeigt die ganze Stadt.The long shot shows the whole city.,German Word (A2)
A2,Tot,tot,"tot (Adjektiv): dead, lifeless, dead‌ (battery), exhausted‌ (colloq.)  tot (Adverb): dead‌ (as intensifier: dead tired), to death  das tot (Noun): the dead person; the dead‌ (plural)","tot (Adjektiv): dead, lifeless, dead (battery), exhausted (colloq.)  tot (Adverb): dead (as intensifier: dead tired), to death  das Tot (Noun): the dead person; the dead (plural)",Der Akku ist tot.The battery is dead.,Nach der Arbeit bin ich tot.After work I am dead tired.,Er wirkt heute toter als gestern.He seems more lifeless today than yesterday.,"Hier ist es am totesten, wenn alle weg sind.It is the deadest here when everyone is gone.",Die Toten werden morgen geehrt.The dead will be honored tomorrow.,German Word (A2)
B1,Spannend,spannend,"spannend (Adjektiv): exciting, thrilling, gripping  das spannend (Noun): the exciting‌ (thing/aspect)","spannend (Adjektiv): exciting, thrilling, gripping  das Spannend (Noun): the exciting (thing/aspect)",Der Film ist spannend.The movie is exciting.,Dieses Buch ist spannender als das andere.This book is more exciting than the other one.,Das war am spannendsten.That was the most exciting.,Ich mag das Spannende an dem Spiel.I like the exciting part of the game.,,German Word (B1)
A2,Schwanger,schwanger,"schwanger (Adjektiv): pregnant, expecting, with child  das schwanger (Noun): the pregnant woman‌ (substantivized adjective)","schwanger (Adjektiv): pregnant, expecting, with child  das Schwanger (Noun): the pregnant woman (substantivized adjective)",Sie ist schwanger.She is pregnant.,Meine Schwester ist schwangerer als ich dachte.My sister is more advanced in pregnancy than I thought.,Sie ist am schwangersten im Kurs.She is the most pregnant in the class.,Die Schwangere wartet beim Arzt.The pregnant woman is waiting at the doctor’s.,,German Word (A2)
